facility_damage,summary_point,lat,long,highlight_in_map2
0.0,POINT (-90.02545 29.969116666666668),29.96912,-90.02545,False
0.0,POINT (-91.41924957272045 31.558976774050645),31.55898,-91.41925,False
0.0,POINT (-118.27216666666666 33.7495),33.7495,-118.27217,False
0.0,POINT (-88.01521563244815 32.237807119340296),32.23781,-88.01522,False
0.0,POINT (-90.16586666666669 29.942666666666668),29.94267,-90.16587,False
0.0,POINT (-88.08864212036178 41.51617631419618),41.51618,-88.08864,False
0.0,POINT (-90.37181666666666 29.94145),29.94145,-90.37182,False
0.0,POINT (-79.99656772613667 40.43249289506489),40.43249,-79.99657,False
0.0,POINT (-90.17916666666666 38.62833333333333),38.62833,-90.17917,False
0.0,POINT (-90.02606666666665 29.968366666666668),29.96837,-90.02607,False
0.0,POINT (-73.81889799981053 40.8679922687896),40.86799,-73.8189,False
0.0,POINT (-76.68998336792338 34.72092593827218),34.72093,-76.68998,False
0.0,POINT (-87.63799881935226 41.8842426265851),41.88424,-87.638,False
0.0,POINT (-87.82636666666667 41.78281666666666),41.78282,-87.82637,False
575000.0,POINT (-91.74587581919505 30.53890738486725),30.53891,-91.74588,True
0.0,POINT (-86.60044838520032 30.40073159301636),30.40073,-86.60045,False
0.0,POINT (-90.72113333333331 29.56798333333333),29.56798,-90.72113,False
0.0,POINT (-90.17916666666666 38.62833333333333),38.62833,-90.17917,False
0.0,POINT (-87.5668393368965 41.63919170569942),41.63919,-87.56684,False
0.0,POINT (-90.16888333333331 29.94475),29.94475,-90.16888,False
0.0,POINT (-91.74676752090384 30.53869908799745),30.5387,-91.74677,False
0.0,POINT (-89.11988711357115 41.32377451929568),41.32377,-89.11989,False
0.0,POINT (-90.38358306884744 29.5708244535282),29.57082,-90.38358,False
0.0,POINT (-89.35159778595005 41.10850679435461),41.10851,-89.3516,False
0.0,POINT (-87.36457443237374 36.52279319226386),36.52279,-87.36457,False
0.0,POINT (-87.90717312775335 31.494415250592727),31.49442,-87.90717,False
0.0,POINT (-90.60683333333331 39.6325),39.6325,-90.60683,False
0.0,POINT (-88.58970444149395 41.30375325590989),41.30375,-88.5897,False
0.0,POINT (-90.6672 30.0493),30.0493,-90.6672,False
0.0,POINT (-81.7089757919333 41.500027134517886),41.50003,-81.70898,False
