,activity_id,serious_marine_incident,marine_board_convened,invest_level,casualty_classification,incident_involvement,invest_type
0,1657555,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1663347,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1663887,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1665530,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1667047,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1669084,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1673240,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1690826,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1694320,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1699219,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1705467,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1707028,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1708534,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1710644,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1710898,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1711024,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1711789,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1714693,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1716174,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1717460,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1717665,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1717782,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1720628,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1723366,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1727512,true,false,,Significant Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,1737881,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1739219,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1741274,true,false,,Major Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,1743723,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1747786,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1759646,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1761841,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1761974,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1766735,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1767401,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1769829,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1770996,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1772061,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1773447,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1773962,true,false,,Significant Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,1774922,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1776223,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1777728,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1778270,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1787508,true,false,,Major Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,1815609,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1827312,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1832540,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1842150,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1843258,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1863724,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1877277,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1879884,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1886766,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1886997,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1887516,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1887593,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1896583,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1913588,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1917771,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1929758,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1932811,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1942425,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1946230,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1957341,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1959647,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1961750,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1962020,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1969305,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1970692,false,false,,Routine,Alleged Civil Offense(s),Incident Investigation
0,1973365,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1973498,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1973684,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1977405,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1981248,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1984870,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
